City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Rikitea,PF,76.26,moderate rain,-23.1203,-134.9692,People ThankYou
1,Isangel,VU,77.72,moderate rain,-19.55,169.2667,Tanna Lodge
8,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
11,Nicoya,CR,81.19,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
14,Tomatlan,MX,86.68,few clouds,19.9333,-105.25,El Salvial
17,Rantoul,US,81.34,clear sky,40.3084,-88.1559,First Heritage Inn
22,Nago,JP,75.63,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
23,Puerto Madero,MX,84.94,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
27,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Abu Dhabi,AE,85.96,clear sky,24.4667,54.3667,Beach Rotana
30,San Patricio,US,89.55,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
33,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
46,Takoradi,GH,79.93,overcast clouds,4.8845,-1.7554,Raybow International Hotel
47,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
51,Bowen,AU,74.71,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
52,Iracoubo,GF,77.11,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
53,Piacabucu,BR,77.14,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
54,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
60,Itarema,BR,77.38,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
61,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
62,Banda,IN,93.51,clear sky,25.4833,80.3333,Hotel Comfort-Inn
65,Cayenne,GF,80.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
69,Atar,MR,86.74,broken clouds,20.5169,-13.0499,Oumou Elghoura
70,Avera,US,91.54,scattered clouds,33.194,-82.5271,
72,Cumana,VE,79.77,overcast clouds,10.4635,-64.1775,Posada Acuarela Los Roques
73,Jati,PK,80.35,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
77,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
78,Butaritari,KI,82.4,broken clouds,3.0707,172.7902,Isles Sunset Lodge
81,Navolato,MX,89.64,clear sky,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
86,Kloulklubed,PW,82.87,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
89,Laguna Beach,US,74.01,broken clouds,33.5423,-117.7831,Hotel Laguna
90,Port Blair,IN,75.24,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
91,Esna,EG,86.02,scattered clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
93,Kununurra,AU,71.58,clear sky,-15.7667,128.7333,Hotel Kununurra
95,Meadow Lake,US,91.4,clear sky,34.8014,-106.5436,TumbleWeed RV Park
97,Nishihara,JP,74.68,light rain,26.1842,127.7558,Minshuku Agaihama
98,Ugoofaaru,MV,83.12,overcast clouds,5.6667,73.0,Ungoofaaru Inn
99,Mayo,US,82.56,clear sky,38.8876,-76.5119,Resorts Resource Group International
104,Banda Aceh,ID,80.13,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
105,Atuona,PF,77.68,few clouds,-9.8,-139.0333,Villa Enata
107,Araouane,ML,90.48,broken clouds,18.9048,-3.5265,
108,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
109,Tual,ID,83.7,broken clouds,-5.6667,132.75,Grand Vilia Hotel
113,Hamilton,US,80.78,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
115,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
117,Veraval,IN,81.09,clear sky,20.9,70.3667,Lords Inn Somnath
121,Los Alamos,US,83.93,clear sky,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
123,Faanui,PF,80.8,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
125,Kirakira,SB,84.72,clear sky,-10.4544,161.9205,SanBiz Lodge
126,Dingle,PH,81.12,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
129,Sibolga,ID,76.39,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
130,Arroyo,ES,71.6,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
135,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
136,Banganapalle,IN,79.29,overcast clouds,15.3167,78.2333,Hotel salamth
140,Ixtapa,MX,87.39,clear sky,20.7,-105.2,hotel la terminal
143,Dijkot,PK,88.23,clear sky,31.2167,72.9833,Al-Siddiq Food Point
145,Boyolangu,ID,75.69,light rain,-8.1181,111.8935,Yos ega cv
147,Aswan,EG,85.12,clear sky,24.0934,32.907,Nuba Nile
149,Estelle,US,88.0,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
151,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
161,Golden,US,88.7,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
162,Salalah,OM,79.5,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
163,Hangu,CN,71.64,broken clouds,39.2489,117.7892,Chongli Xuexiang Family Express Inn
169,Srivardhan,IN,81.34,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
174,Bengkulu,ID,75.15,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
190,Jiangkou,CN,70.18,scattered clouds,25.4872,119.1986,DFM Hotel
191,Houma,US,87.01,few clouds,29.5958,-90.7195,Courtyard by Marriott Houma
192,Katherine,AU,71.92,clear sky,-14.4667,132.2667,Pine Tree Motel
193,Englewood,US,89.1,overcast clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
194,Kavieng,PG,83.43,light rain,-2.5744,150.7967,Nusa Island Retreat
195,San Ignacio,BZ,91.15,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
196,Mahibadhoo,MV,82.44,very heavy rain,3.7833,72.9667,Omadhoo Inn
197,Bacolod,PH,82.11,scattered clouds,10.6667,122.95,Planta Hotel & Residences
198,Makakilo City,US,84.0,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
202,Sarangani,PH,83.16,scattered clouds,5.4033,125.4636,Ballistic Islet
203,Oussouye,SN,76.3,scattered clouds,12.485,-16.5469,Auberge du Routard
205,Quatre Cocos,MU,71.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
207,Samarai,PG,81.9,scattered clouds,-10.6167,150.6667,Nuli Sapi
210,Mubi,NG,80.01,overcast clouds,10.2676,13.2644,LASVEGAS BAR AND MOTEL
212,Sayat,TM,79.09,clear sky,38.7839,63.8803,
213,Mumford,GH,80.02,light rain,5.2618,-0.759,Spanish Villa
220,Raton,US,82.06,scattered clouds,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
221,Cortes,ES,74.48,overcast clouds,41.9395,-1.4396,Rincon de bu
223,Lorengau,PG,83.26,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
224,Buala,SB,84.7,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
225,Kalaleh,IR,71.56,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
227,Dalbandin,PK,82.6,clear sky,28.8947,64.4101,Sanjrani House
228,Vanimo,PG,81.09,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
229,Victoria,HK,80.19,scattered clouds,22.2855,114.1577,Mini Central
232,Poum,NC,78.22,clear sky,-20.2333,164.0167,
242,Jagdalpur,IN,79.63,overcast clouds,19.0667,82.0333,Hotel Devansh Residency
244,Puerto Carreno,CO,75.02,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
248,Saint Anthony,US,70.3,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
251,Sorong,ID,78.22,broken clouds,-0.8833,131.25,Waigo Splash Hotel
254,Sao Filipe,CV,74.68,scattered clouds,14.8961,-24.4956,Hotel Xaguate
255,Angoche,MZ,73.87,clear sky,-16.2325,39.9086,Guest House HESADA
256,Souillac,MU,72.72,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
258,Rancho Palos Verdes,US,73.92,scattered clouds,33.7445,-118.387,Terranea Resort
259,Minjur,IN,84.0,broken clouds,13.2667,80.2667,Whitefield Integrated Residential Township
