,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Rikitea,PF,-23.1203,-134.9692,76.26,77,96,12.71,moderate rain
1,Isangel,VU,-19.55,169.2667,77.72,87,100,15.19,moderate rain
2,Hobart,AU,-42.8794,147.3294,45.27,86,75,10.36,broken clouds
3,Barrow,US,71.2906,-156.7887,26.62,93,100,21.85,overcast clouds
4,Clyde River,CA,70.4692,-68.5914,23.23,100,75,14.97,mist
5,Sitka,US,57.0531,-135.33,55.29,67,20,9.22,few clouds
6,Beloha,MG,-25.1667,45.05,67.42,69,0,6.69,clear sky
7,Port Alfred,ZA,-33.5906,26.891,57.18,94,100,1.99,moderate rain
8,Georgetown,MY,5.4112,100.3354,82.33,88,20,2.3,few clouds
9,Halifax,CA,44.6453,-63.5724,60.69,52,75,10.36,broken clouds
10,Mataura,NZ,-46.1927,168.8643,41.49,88,99,6.2,light rain
11,Nicoya,CR,10.1483,-85.452,81.19,74,87,2.17,overcast clouds
12,Katsuura,JP,35.1333,140.3,68.67,75,100,13.35,overcast clouds
13,Kamenka,RU,51.3223,42.7678,46.99,83,90,7.34,overcast clouds
14,Tomatlan,MX,19.9333,-105.25,86.68,38,23,12.64,few clouds
15,Eureka,US,40.8021,-124.1637,64.67,64,86,17.0,overcast clouds
16,Vestmanna,FO,62.1564,-7.1664,47.84,95,100,15.79,overcast clouds
17,Rantoul,US,40.3084,-88.1559,81.34,49,0,18.41,clear sky
18,Busselton,AU,-33.65,115.3333,59.7,82,69,5.14,broken clouds
19,Punta Arenas,CL,-53.15,-70.9167,41.11,100,100,25.32,fog
20,Dunedin,NZ,-45.8742,170.5036,45.81,63,100,11.99,moderate rain
21,Ushuaia,AR,-54.8,-68.3,53.26,58,20,4.61,few clouds
22,Nago,JP,26.5881,127.9761,75.63,94,100,16.37,light rain
23,Puerto Madero,MX,14.7208,-92.4215,84.94,67,96,6.49,overcast clouds
24,Bluff,NZ,-46.6,168.3333,41.81,77,97,21.14,light rain
25,Santa Isabel,BR,-23.3156,-46.2214,53.31,93,63,3.09,broken clouds
26,Hilo,US,19.7297,-155.09,95.29,65,100,12.66,overcast clouds
27,Kapaa,US,22.0752,-159.319,80.58,92,100,16.11,light rain
28,Abu Dhabi,AE,24.4667,54.3667,85.96,62,0,4.61,clear sky
29,Saskylakh,RU,71.9167,114.0833,32.18,90,100,2.73,overcast clouds
30,San Patricio,US,28.017,-97.5169,89.55,53,0,20.71,clear sky
31,Tarko-Sale,RU,64.9225,77.785,52.41,84,100,19.73,light rain
32,Birakan,RU,49.0167,131.7,53.96,49,100,4.9,overcast clouds
33,San Cristobal,VE,7.7669,-72.225,77.18,88,100,4.74,overcast clouds
34,Fuyang,CN,32.9,115.8167,64.81,72,100,1.52,overcast clouds
35,East London,ZA,-33.0153,27.9116,62.31,88,90,13.47,overcast clouds
36,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,100,5.75,overcast clouds
37,Izhma,RU,65.0083,53.9113,33.89,72,99,8.66,overcast clouds
38,Liverpool,GB,53.4106,-2.9779,57.74,69,20,1.14,few clouds
39,Baykit,RU,61.67,96.37,52.99,66,100,5.17,overcast clouds
40,Kijabe,KE,-0.933,36.5758,52.21,91,89,5.26,overcast clouds
41,Arraial Do Cabo,BR,-22.9661,-42.0278,66.16,82,20,24.16,few clouds
42,Khatanga,RU,71.9667,102.5,28.96,91,74,0.69,broken clouds
43,Kozlovka,RU,55.8428,48.2492,35.92,90,60,3.44,broken clouds
44,Olafsvik,IS,64.8945,-23.7142,47.01,83,87,6.96,overcast clouds
45,Faya,SA,18.3851,42.4509,68.11,17,1,6.64,clear sky
46,Takoradi,GH,4.8845,-1.7554,79.93,86,100,8.61,overcast clouds
47,Avarua,CK,-21.2078,-159.775,77.05,94,75,18.41,broken clouds
48,Kodiak,US,57.79,-152.4072,60.31,41,0,13.8,clear sky
49,Ancud,CL,-41.8697,-73.8203,55.72,86,100,16.55,light rain
50,Ahipara,NZ,-35.1667,173.1667,63.39,79,99,20.78,light rain
51,Bowen,AU,-20.0167,148.2333,74.71,78,83,15.32,broken clouds
52,Iracoubo,GF,5.4802,-53.2011,77.11,85,62,6.64,broken clouds
53,Piacabucu,BR,-10.4056,-36.4344,77.14,90,96,3.29,overcast clouds
54,Puerto Ayora,EC,-0.7393,-90.3518,80.56,94,93,4.0,overcast clouds
55,Torbay,CA,47.6666,-52.7314,49.26,75,20,19.57,few clouds
56,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,83,46,8.84,scattered clouds
57,Qaanaaq,GL,77.484,-69.3632,23.47,79,94,6.8,overcast clouds
58,Yellowknife,CA,62.456,-114.3525,52.32,30,20,10.36,few clouds
59,Srednekolymsk,RU,67.45,153.6833,54.41,38,77,15.26,broken clouds
60,Itarema,BR,-2.9248,-39.9167,77.38,87,90,6.31,overcast clouds
61,Alofi,NU,-19.0595,-169.9187,78.69,89,75,12.66,broken clouds
62,Banda,IN,25.4833,80.3333,93.51,12,0,0.98,clear sky
63,Kitimat,CA,54.0524,-128.6534,57.58,59,99,1.95,overcast clouds
64,Yulara,AU,-25.2406,130.9889,53.53,69,4,9.04,clear sky
65,Cayenne,GF,4.9333,-52.3333,80.1,1,100,2.3,overcast clouds
66,Kaseda,JP,31.4167,130.3167,67.17,72,100,6.35,moderate rain
67,Bethel,US,41.3712,-73.414,63.86,84,97,1.01,overcast clouds
68,Toora-Khem,RU,52.4675,96.11,55.92,51,8,4.16,clear sky
69,Atar,MR,20.5169,-13.0499,86.74,15,84,5.57,broken clouds
70,Avera,US,33.194,-82.5271,91.54,39,50,9.55,scattered clouds
71,Taga,RO,46.95,24.05,48.52,81,36,0.27,scattered clouds
72,Cumana,VE,10.4635,-64.1775,79.77,77,87,11.99,overcast clouds
73,Jati,PK,24.3539,68.2671,80.35,83,0,16.55,clear sky
74,Zhangjiakou,CN,40.81,114.8794,65.3,42,5,1.43,clear sky
75,Port Elizabeth,ZA,-33.918,25.5701,55.69,97,40,9.22,moderate rain
76,Saint-Philippe,RE,-21.3585,55.7679,67.59,75,39,9.51,scattered clouds
77,Cam Ranh,VN,11.9214,109.1591,78.76,89,20,1.14,few clouds
78,Butaritari,KI,3.0707,172.7902,82.4,66,74,13.29,broken clouds
79,Tiksi,RU,71.6872,128.8694,29.95,91,100,8.68,overcast clouds
80,Jamestown,US,42.097,-79.2353,68.52,52,0,6.91,clear sky
81,Navolato,MX,24.7672,-107.6944,89.64,59,0,12.21,clear sky
82,Albany,US,42.6001,-73.9662,62.46,85,89,9.17,overcast clouds
83,College,US,64.8569,-147.8028,65.08,35,40,4.61,scattered clouds
84,Vieste,IT,41.8825,16.175,65.35,56,0,5.73,clear sky
85,Letlhakane,BW,-21.4167,25.5833,60.96,55,15,7.16,few clouds
86,Kloulklubed,PW,7.0419,134.2556,82.87,79,100,17.18,overcast clouds
87,Cherskiy,RU,68.75,161.3,53.78,48,32,11.07,scattered clouds
88,Ostrov,RU,57.3439,28.3537,51.53,83,100,8.39,overcast clouds
89,Laguna Beach,US,33.5423,-117.7831,74.01,78,75,10.36,broken clouds
90,Port Blair,IN,11.6667,92.75,75.24,94,100,2.3,drizzle
91,Esna,EG,25.2934,32.554,86.02,9,37,10.71,scattered clouds
92,Kaminoyama,JP,38.1539,140.2736,67.91,54,96,3.78,overcast clouds
93,Kununurra,AU,-15.7667,128.7333,71.58,83,0,0.0,clear sky
94,Pisco,PE,-13.7,-76.2167,68.05,77,0,11.5,clear sky
95,Meadow Lake,US,34.8014,-106.5436,91.4,7,1,22.12,clear sky
96,Ponta Do Sol,PT,32.6667,-17.1,68.72,79,99,2.75,overcast clouds
97,Nishihara,JP,26.1842,127.7558,74.68,94,75,12.66,light rain
98,Ugoofaaru,MV,5.6667,73.0,83.12,79,100,16.33,overcast clouds
99,Mayo,US,38.8876,-76.5119,82.56,52,0,8.05,clear sky
100,Homer,US,59.6425,-151.5483,55.45,50,1,3.31,clear sky
101,Mahon,ES,39.8885,4.2658,68.56,83,0,8.05,clear sky
102,Kaitangata,NZ,-46.2817,169.8464,44.64,78,100,10.65,overcast clouds
103,Nikolskoye,RU,59.7035,30.7861,40.87,70,2,2.13,clear sky
104,Banda Aceh,ID,5.5577,95.3222,80.13,82,100,9.08,overcast clouds
105,Atuona,PF,-9.8,-139.0333,77.68,64,13,9.46,few clouds
